city,indicator,year,value,unit,nace_r2,indic_sb,s_adj,region,geo,geo_level,empw,gdp,lab_prod,country,bankruptcies,factoring,interest_rate,interest_rate_spread,leasing,loan,loan_gov_guaranteed,loan_gov_guarantees,loan_lt,loan_st,npl,payment_delays,loan_applications,loan_collateral,vc,loan_gov_direct,loan_rejection,eu_funding,funds_pc,funding_geo,funding_method,funding_to_gdp,funding_per_emp
Athens,GERD_regional,1986,25.143,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,10.14,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,44.384,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,17.9,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,12.67,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,5.11,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,82.172,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1986,33.14,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,GERD_regional,1988,28.793,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,14.16,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,46.972,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,23.1,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,17.467,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,8.59,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,93.232,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1988,45.85,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256602,NA,EL30,direct,NA,NA
Athens,GERD_regional,1989,34.62,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664044,NA,EL30,direct,NA,NA
Athens,GERD_regional,1989,18.17,MIO_NAC,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664044,NA,EL30,direct,NA,NA
Athens,GERD_regional,1989,51.653,MIO_EUR,NA,NA,NA,Attiki (EL30),EL30,NUTS2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664044,NA,EL30,direct,NA,NA
