city,year,eu_funding,funds_pc,funding_geo,funding_method
Athens,1987,920646,NA,EL30,direct
Athens,1988,256602,NA,EL30,direct
Athens,1989,664044,NA,EL30,direct
Athens,1990,34056388,NA,EL30,direct
Athens,1991,45435832,NA,EL30,direct
Athens,1992,363388857,NA,EL30,direct
Athens,1993,266411025,NA,EL30,direct
Athens,1994,200465413,NA,EL30,direct
Athens,1995,230873105,NA,EL30,direct
Athens,1996,309734987,NA,EL30,direct
Athens,1997,401276004,NA,EL30,direct
Athens,1998,402499401,NA,EL30,direct
Athens,1999,343859901,NA,EL30,direct
Athens,2000,295665855,NA,EL30,direct
Athens,2001,662136573,NA,EL30,direct
Athens,2002,484872322,NA,EL30,direct
Athens,2003,455929085,NA,EL30,direct
Athens,2004,616319834,NA,EL30,direct
Athens,2005,500565264,NA,EL30,direct
Athens,2006,870835338,NA,EL30,direct
Athens,2007,1161851289,NA,EL30,direct
Athens,2008,1138173258,NA,EL30,direct
Athens,2009,530056784,NA,EL30,direct
Athens,2010,514587593,NA,EL30,direct
Athens,2011,591518684,NA,EL30,direct
Athens,2012,450341397,NA,EL30,direct
Athens,2013,569234368,NA,EL30,direct
Athens,2014,961857471,NA,EL30,direct
Athens,2015,326986002,NA,EL30,direct
Athens,2016,271160825,NA,EL30,direct
Athens,2017,220724695,NA,EL30,direct
Athens,2018,172259573,NA,EL30,direct
Athens,2019,305994030,NA,EL30,direct
Athens,2020,1181067651,NA,EL30,direct
Athens,2021,588190151,NA,EL30,direct
Athens,2022,485297008,NA,EL30,direct
Barcelona,1989,0,NA,ES51,proxy
Barcelona,1990,31337003,NA,ES51,proxy
Barcelona,1991,77100359,NA,ES51,proxy
Barcelona,1992,164324894,NA,ES51,proxy
Barcelona,1993,140777605,NA,ES51,proxy
Barcelona,1994,117316028,NA,ES51,proxy
Barcelona,1995,416183814,NA,ES51,proxy
Barcelona,1996,180425007,NA,ES51,proxy
Barcelona,1997,231046333,NA,ES51,proxy
Barcelona,1998,479977709,NA,ES51,proxy
Barcelona,1999,201479024,NA,ES51,proxy
Barcelona,2000,207715870,NA,ES51,proxy
Barcelona,2001,579266095,NA,ES51,proxy
Barcelona,2002,612720053,NA,ES51,proxy
Barcelona,2003,677292053,NA,ES51,proxy
Barcelona,2004,638813229,NA,ES51,proxy
Barcelona,2005,441771872,NA,ES51,proxy
Barcelona,2006,518920307,NA,ES51,proxy
Barcelona,2007,348777432,NA,ES51,proxy
Barcelona,2008,348243908,NA,ES51,proxy
Barcelona,2009,396229081,NA,ES51,proxy
Barcelona,2010,504465758,NA,ES51,proxy
Barcelona,2011,402462265,NA,ES51,proxy
