city,year,indicator,value,value_interp
Athens,2000,kpi_ht_employment_share,NA,NA
Athens,2001,kpi_ht_employment_share,NA,NA
Athens,2002,kpi_ht_employment_share,NA,NA
Athens,2003,kpi_ht_employment_share,NA,NA
Athens,2004,kpi_ht_employment_share,NA,NA
Athens,2005,kpi_ht_employment_share,NA,NA
Athens,2006,kpi_ht_employment_share,NA,NA
Athens,2007,kpi_ht_employment_share,NA,NA
Athens,2008,kpi_ht_employment_share,0.005381328676429777,0.005381328676429777
Athens,2009,kpi_ht_employment_share,0.005310586522276373,0.005310586522276373
Athens,2010,kpi_ht_employment_share,0.0052938377772419965,0.0052938377772419965
Athens,2011,kpi_ht_employment_share,0.005227221120657303,0.005227221120657303
Athens,2012,kpi_ht_employment_share,0.005042030585586078,0.005042030585586078
Athens,2013,kpi_ht_employment_share,0.004864119538616692,0.004864119538616692
Athens,2014,kpi_ht_employment_share,0.004700424871323375,0.004700424871323375
Athens,2015,kpi_ht_employment_share,0.004876659433244123,0.004876659433244123
Athens,2016,kpi_ht_employment_share,0.004777773416728115,0.004777773416728115
Athens,2017,kpi_ht_employment_share,0.004841831822986584,0.004841831822986584
Athens,2018,kpi_ht_employment_share,0.0046523243150475325,0.0046523243150475325
Athens,2019,kpi_ht_employment_share,0.00464085223450451,0.00464085223450451
Athens,2020,kpi_ht_employment_share,0.004903582980625412,0.004903582980625412
Athens,2021,kpi_ht_employment_share,0.004950324779848293,0.004950324779848293
Athens,2000,kpi_ht_patents_per_100kemp,0.09187781775441402,0.09187781775441402
Athens,2001,kpi_ht_patents_per_100kemp,0.10049318541032112,0.10049318541032112
Athens,2002,kpi_ht_patents_per_100kemp,0.13930911023187875,0.13930911023187875
Athens,2003,kpi_ht_patents_per_100kemp,0.1806432581079947,0.1806432581079947
Athens,2004,kpi_ht_patents_per_100kemp,0.1606045574866122,0.1606045574866122
Athens,2005,kpi_ht_patents_per_100kemp,0.12553024977273963,0.12553024977273963
Athens,2006,kpi_ht_patents_per_100kemp,0.13498069300956997,0.13498069300956997
Athens,2007,kpi_ht_patents_per_100kemp,0.07547301437264542,0.07547301437264542
Athens,2008,kpi_ht_patents_per_100kemp,0.16013969529628852,0.16013969529628852
Athens,2009,kpi_ht_patents_per_100kemp,0.08840138168210196,0.08840138168210196
Athens,2010,kpi_ht_patents_per_100kemp,0.06226516433711235,0.06226516433711235
Athens,2011,kpi_ht_patents_per_100kemp,0.09047816712318009,0.09047816712318009
