country_iso3,freq,measure,unit_measure,territorial_level,unit_mult,decimals,year,value,obs_status,region_code,region_label
EE001F,A,GDP,PT_NAT,FUA,0,1,2000,57,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2000,15816,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2000,255499,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2000,61901,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2001,57.5,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2001,16916,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2001,260365,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2001,64972,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2002,58.1,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2002,18234,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2002,266720,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2002,68363,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2003,58.6,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2003,19796,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2003,275061,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2003,71968,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2004,59.6,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2004,21482,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2004,271883,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2004,79012,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2005,58.9,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2005,23290,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2005,286083,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2005,81410,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2006,60,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2006,26006,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2006,298496,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2006,87122,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2007,58.8,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2007,27438,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2007,303560,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2007,90387,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2008,58.2,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2008,25778,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2008,307830,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2008,83741,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2009,60.5,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2009,22854,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2009,276948,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2009,82521,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2010,59.4,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2010,23009,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2010,265925,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2010,86522,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2011,61.1,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2011,25367,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2011,287076,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2011,88362,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2012,62.5,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2012,26772,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2012,298297,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2012,89751,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2013,62.8,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2013,27323,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2013,301475,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2013,90631,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2014,62.9,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2014,28188,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2014,303461,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2014,92888,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2015,62.9,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2015,50405,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2015,28683,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2015,313490,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2015,91496,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2016,63.3,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2016,51687,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2016,29783,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2016,316568,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2016,94079,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2017,63.3,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2017,54098,A,EE001F,NA
