country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2007,39.75782038,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2007,96.1928934,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2007,5.33,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2007,5.96,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2007,0.63,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2007,894,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2007,5,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2007,991,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2007,892.99,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2007,394,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2007,379,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2007,15,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2007,5210,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2007,10103,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2007,5550,A,1,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2008,38.42841765,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2008,96.91876751,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2008,4.3,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2008,5.51,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2008,185.2348993,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2008,1.21,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2008,2550,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2008,5,A,0,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2008,952.075,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2008,357,A,1,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2008,929,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2008,3336,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2008,346,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2008,11,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2008,7053,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2008,12384,A,1,NA
