country_iso,country,year,measure,unit_measure,value
EE,Estonia,2007,BANKRUPTCIES,ENT,202
EE,Estonia,2008,BANKRUPTCIES,GR,109.4059406
EE,Estonia,2008,BANKRUPTCIES,ENT,423
EE,Estonia,2009,BANKRUPTCIES,GR,149.4089835
EE,Estonia,2009,BANKRUPTCIES,ENT,1055
EE,Estonia,2010,BANKRUPTCIES,GR,-2.559241706
EE,Estonia,2010,BANKRUPTCIES,ENT,1028
EE,Estonia,2011,BANKRUPTCIES,GR,-39.39688716
EE,Estonia,2011,BANKRUPTCIES,ENT,623
EE,Estonia,2012,BANKRUPTCIES,GR,-20.54574639
EE,Estonia,2012,BANKRUPTCIES,ENT,495
EE,Estonia,2013,BANKRUPTCIES,GR,-7.272727273
EE,Estonia,2013,BANKRUPTCIES,ENT,459
EE,Estonia,2014,BANKRUPTCIES,GR,-6.753812636
EE,Estonia,2014,BANKRUPTCIES,ENT,428
EE,Estonia,2015,BANKRUPTCIES,GR,-12.14953271
EE,Estonia,2015,BANKRUPTCIES,ENT,376
EE,Estonia,2016,BANKRUPTCIES,GR,-10.90425532
EE,Estonia,2016,BANKRUPTCIES,ENT,335
EE,Estonia,2017,BANKRUPTCIES,GR,2.388059701
EE,Estonia,2017,BANKRUPTCIES,ENT,343
EE,Estonia,2018,BANKRUPTCIES,GR,-20.40816327
EE,Estonia,2018,BANKRUPTCIES,ENT,273
EE,Estonia,2019,BANKRUPTCIES,GR,-0.732600733
EE,Estonia,2019,BANKRUPTCIES,ENT,271
EE,Estonia,2020,BANKRUPTCIES,GR,25.8302583
EE,Estonia,2020,BANKRUPTCIES,ENT,341
EE,Estonia,2021,BANKRUPTCIES,GR,-69.79472141
EE,Estonia,2021,BANKRUPTCIES,ENT,103
EE,Estonia,2022,BANKRUPTCIES,GR,-4.854368932
EE,Estonia,2022,BANKRUPTCIES,ENT,98
EE,Estonia,2007,FACTORING,EUR,1289.984352
EE,Estonia,2008,FACTORING,EUR,1405.67285
EE,Estonia,2009,FACTORING,EUR,988.8369367
EE,Estonia,2010,FACTORING,EUR,909.2908442
EE,Estonia,2011,FACTORING,EUR,1129.215969
EE,Estonia,2012,FACTORING,EUR,1924.278351
EE,Estonia,2013,FACTORING,EUR,1981.287703
EE,Estonia,2014,FACTORING,EUR,2094.191828
EE,Estonia,2015,FACTORING,EUR,2239.374012
EE,Estonia,2016,FACTORING,EUR,2090.424666
EE,Estonia,2017,FACTORING,EUR,2290.405502
EE,Estonia,2018,FACTORING,EUR,3033.815695
EE,Estonia,2019,FACTORING,EUR,3450.64304
EE,Estonia,2020,FACTORING,EUR,2582
EE,Estonia,2021,FACTORING,EUR,2988.654868
EE,Estonia,2022,FACTORING,EUR,3755.50649
EE,Estonia,2007,INTEREST_RATE,PA,5.681037733
EE,Estonia,2007,INTEREST_RATE,PA,6.107474596
EE,Estonia,2008,INTEREST_RATE,PA,6.130052032
EE,Estonia,2008,INTEREST_RATE,PA,6.709763324
EE,Estonia,2009,INTEREST_RATE,PA,4.205645708
EE,Estonia,2009,INTEREST_RATE,PA,5.342388756
EE,Estonia,2010,INTEREST_RATE,PA,3.904335244
EE,Estonia,2010,INTEREST_RATE,PA,5.059658012
EE,Estonia,2011,INTEREST_RATE,PA,3.762516107
EE,Estonia,2011,INTEREST_RATE,PA,4.918286999
EE,Estonia,2012,INTEREST_RATE,PA,3.047890353
EE,Estonia,2012,INTEREST_RATE,PA,4.023887478
EE,Estonia,2013,INTEREST_RATE,PA,2.855886278
EE,Estonia,2013,INTEREST_RATE,PA,3.411736287
EE,Estonia,2014,INTEREST_RATE,PA,2.679835497
EE,Estonia,2014,INTEREST_RATE,PA,3.361022653
EE,Estonia,2015,INTEREST_RATE,PA,2.053417282
EE,Estonia,2015,INTEREST_RATE,PA,3.039830227
EE,Estonia,2016,INTEREST_RATE,PA,2.081845337
EE,Estonia,2016,INTEREST_RATE,PA,2.958543214
EE,Estonia,2017,INTEREST_RATE,PA,2.118284896
EE,Estonia,2017,INTEREST_RATE,PA,2.991630988
EE,Estonia,2018,INTEREST_RATE,PA,2.129423323
EE,Estonia,2018,INTEREST_RATE,PA,3.278137651
EE,Estonia,2019,INTEREST_RATE,PA,2.556767193
EE,Estonia,2019,INTEREST_RATE,PA,3.847962912
EE,Estonia,2020,INTEREST_RATE,PA,2.77
EE,Estonia,2020,INTEREST_RATE,PA,4.08
EE,Estonia,2021,INTEREST_RATE,PA,2.813281236
EE,Estonia,2021,INTEREST_RATE,PA,3.747731541
EE,Estonia,2022,INTEREST_RATE,PA,3.436809833
EE,Estonia,2022,INTEREST_RATE,PA,4.084638899
EE,Estonia,2007,INTEREST_RATE_SPREAD,PD,0.426436862
EE,Estonia,2008,INTEREST_RATE_SPREAD,PD,0.579711291
EE,Estonia,2009,INTEREST_RATE_SPREAD,PD,1.136743048
EE,Estonia,2010,INTEREST_RATE_SPREAD,PD,1.155322768
EE,Estonia,2011,INTEREST_RATE_SPREAD,PD,1.155770891
EE,Estonia,2012,INTEREST_RATE_SPREAD,PD,0.975997125
EE,Estonia,2013,INTEREST_RATE_SPREAD,PD,0.55585001
EE,Estonia,2014,INTEREST_RATE_SPREAD,PD,0.681187155
EE,Estonia,2015,INTEREST_RATE_SPREAD,PD,0.986412945
EE,Estonia,2016,INTEREST_RATE_SPREAD,PD,0.876697877
EE,Estonia,2017,INTEREST_RATE_SPREAD,PD,0.873346091
EE,Estonia,2018,INTEREST_RATE_SPREAD,PD,1.148714328
EE,Estonia,2019,INTEREST_RATE_SPREAD,PD,1.291195719
EE,Estonia,2020,INTEREST_RATE_SPREAD,PD,1.31
