city,year,indicator,value,value_interp,source,quality
Athens,1978,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1979,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1981,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1982,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1983,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1984,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1985,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1986,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1987,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1988,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1989,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1990,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1991,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1992,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1993,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1994,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1995,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1996,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1997,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1998,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,1999,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2000,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2001,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2002,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2003,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2004,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2005,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2006,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2007,bankruptcies,524,524,OECD_SME_finance,descriptive
Athens,2008,bankruptcies,153.633587785,153.633587785,OECD_SME_finance,descriptive
Athens,2009,bankruptcies,187.8011695905,187.8011695905,OECD_SME_finance,descriptive
Athens,2010,bankruptcies,191.6304347825,191.6304347825,OECD_SME_finance,descriptive
Athens,2011,bankruptcies,249.368421055,249.368421055,OECD_SME_finance,descriptive
Athens,2012,bankruptcies,225.4957805905,225.4957805905,OECD_SME_finance,descriptive
Athens,2013,bankruptcies,216.521978022,216.521978022,OECD_SME_finance,descriptive
Athens,2014,bankruptcies,155.82951945,155.82951945,OECD_SME_finance,descriptive
Athens,2015,bankruptcies,83.746268655,83.746268655,OECD_SME_finance,descriptive
Athens,2016,bankruptcies,32.441747575,32.441747575,OECD_SME_finance,descriptive
Athens,2017,bankruptcies,58.3513513515,58.3513513515,OECD_SME_finance,descriptive
Athens,2018,bankruptcies,26.96491228,26.96491228,OECD_SME_finance,descriptive
Athens,2019,bankruptcies,19.914634145,19.914634145,OECD_SME_finance,descriptive
Athens,2020,bankruptcies,23.738095238,23.738095238,OECD_SME_finance,descriptive
Athens,2021,bankruptcies,22.99122807,22.99122807,OECD_SME_finance,descriptive
Athens,2022,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2023,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Athens,2024,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1982,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1983,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1984,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1985,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1986,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1988,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1989,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1991,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1992,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1993,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1994,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1995,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1996,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1997,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1998,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,1999,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2000,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2001,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2002,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2003,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2004,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2005,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2006,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2007,bankruptcies,894,894,OECD_SME_finance,descriptive
Barcelona,2008,bankruptcies,1367.61744965,1367.61744965,OECD_SME_finance,descriptive
Barcelona,2009,bankruptcies,2269.00980392,2269.00980392,OECD_SME_finance,descriptive
Barcelona,2010,bankruptcies,2090.407909478,2090.407909478,OECD_SME_finance,descriptive
Barcelona,2011,bankruptcies,2464.65775018,2464.65775018,OECD_SME_finance,descriptive
Barcelona,2012,bankruptcies,3330.957247555,3330.957247555,OECD_SME_finance,descriptive
Barcelona,2013,bankruptcies,3765.214953975,3765.214953975,OECD_SME_finance,descriptive
Barcelona,2014,bankruptcies,2531.896501265,2531.896501265,OECD_SME_finance,descriptive
Barcelona,2015,bankruptcies,1952.03021978,1952.03021978,OECD_SME_finance,descriptive
Barcelona,2016,bankruptcies,1644.58046855,1644.58046855,OECD_SME_finance,descriptive
Barcelona,2017,bankruptcies,1655.075642965,1655.075642965,OECD_SME_finance,descriptive
Barcelona,2018,bankruptcies,1673.5438066465,1673.5438066465,OECD_SME_finance,descriptive
Barcelona,2019,bankruptcies,1877.94739988,1877.94739988,OECD_SME_finance,descriptive
Barcelona,2020,bankruptcies,1750.8482905985,1750.8482905985,OECD_SME_finance,descriptive
Barcelona,2021,bankruptcies,2231.741163055,2231.741163055,OECD_SME_finance,descriptive
Barcelona,2022,bankruptcies,2697.55893622,2697.55893622,OECD_SME_finance,descriptive
Barcelona,2023,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Barcelona,2024,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1980,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1985,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1986,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1989,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1990,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1991,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1992,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1993,bankruptcies,NA,NA,OECD_SME_finance,descriptive
Lisbon,1995,bankruptcies,NA,NA,OECD_SME_finance,descriptive
