indicator,geo,year,value,unit,nace_r2,indic_sb,s_adj,region,city,geo_level
HighTech_patents_regional,EE001,1992,0.5,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1992,0.5,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1994,0.13,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1994,0.13,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1998,0.4,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1998,1,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,1998,1.4,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.048,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.17,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.317,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.048,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.17,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2000,0.317,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,0.167,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,0.67,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,1.255,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,0.167,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,0.67,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2001,1.255,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.11,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.5,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.938,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.265,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,1.2,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,2.252,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.154,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,0.7,NR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2002,1.314,P_MHAB,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
HighTech_patents_regional,EE001,2003,0.389,GDP_BEUR,,NA,NA,Põhja-Eesti (EE001),Tallinn,NUTS2/3
